,PRICE,Product
0,"₹49,999","SAMSUNG Galaxy S22 5G (Bora Purple, 128 GB)"
1,"₹46,990","vivo X60 (Midnight Black, 256 GB)"
2,"₹48,990","OnePlus 9 Pro 5G (Pine Green, 256 GB)"
3,"₹43,599","OnePlus 10T 5G (Moonstone Black, 128 GB)"
4,"₹28,055","SAMSUNG Galaxy S20 FE (Cloud Mint, 128 GB)"
5,"₹45,999","OPPO Reno8 Pro 5G (Glazed Green, 256 GB)"
6,"₹48,949","OnePlus 10T 5G (Moonstone Black, 256 GB)"
7,"₹45,999","OnePlus 10T 5G (Moonstone Black, 256 GB)"
8,"₹49,499","IQOO 9T 5G (LEGEND, 128 GB)"
9,"₹48,999","APPLE iPhone 6 Plus (Silver, 64 GB)"
10,"₹49,999","OnePlus 8 Pro (Ultramarine Blue, 256 GB)"
11,"₹49,999","OnePlus 9 Pro 5G (Stellar Black, 256 GB)"
12,"₹47,990","OPPO Reno7 Pro 5G (Starlight Black, 256 GB)"
13,"₹47,990","OPPO Reno7 Pro 5G (Startrails Blue, 256 GB)"
14,"₹43,980","OPPO Reno8 Pro 5G (Glazed Black, 256 GB)"
15,"₹46,099","OnePlus 10T 5G (Jade Green, 128 GB)"
16,"₹47,999","Mi 10T Pro (Cosmic Black, 128 GB)"
17,"₹45,993","OnePlus 9RT 5G (Hacker Black, 256 GB)"
18,"₹32,999","realme X50 Pro (Moss Green, 256 GB)"
19,"₹49,999","OnePlus 10T 5G (Jade Green, 256 GB)"
20,"₹49,900","APPLE iPhone 8 Plus (Gold, 64 GB)"
21,"₹49,900","APPLE iPhone 8 Plus (Silver, 64 GB)"
22,"₹49,900","APPLE iPhone 8 Plus (Space Grey, 64 GB)"
23,"₹42,999","APPLE iPhone 12 (Blue, 64 GB)"
24,"₹42,999","APPLE iPhone 12 (White, 64 GB)"
25,"₹44,999","Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 128 GB)"
26,"₹42,999","APPLE iPhone 12 (Black, 64 GB)"
27,"₹42,999","APPLE iPhone 12 (Purple, 64 GB)"
28,"₹42,999","vivo V29 Pro 5G (Black, 256 GB)"
29,"₹39,999","OPPO Reno10 Pro 5G (Glossy Purple, 256 GB)"
30,"₹42,999","APPLE iPhone 12 (Green, 64 GB)"
31,"₹39,999","OPPO Reno10 Pro 5G (Silvery Grey, 256 GB)"
32,"₹44,999","Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 128 GB)"
33,"₹44,999","Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 128 GB)"
34,"₹44,999","Samsung Galaxy S21 FE 5G with Snapdragon 888 (Lavender, 128 GB)"
35,"₹39,964","OnePlus 11R 5G (Galactic Silver, 128 GB)"
36,"₹44,999","Nothing Phone (2) (Dark Grey, 256 GB)"
37,"₹44,999","Nothing Phone (2) (White, 256 GB)"
38,"₹43,999","APPLE iPhone 12 (Red, 64 GB)"
39,"₹39,999","OnePlus 11R 5G (Sonic Black, 128 GB)"
40,"₹44,985","OnePlus 11R 5G (Sonic Black, 256 GB)"
41,"₹38,999","vivo V23 Pro 5G (Stardust Black, 256 GB)"
42,"₹38,999","OnePlus 10R 5G (Forest Green, 256 GB)"
43,"₹43,490","vivo X80 (Cosmic Black, 128 GB)"
44,"₹24,990","Mi 10T (Lunar Silver, 128 GB)"
45,"₹42,999","vivo V27 Pro 5G (Magic Blue, 256 GB)"
46,"₹41,999","SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)"
47,"₹44,871","Tecno Phantom X2 Pro Retractable 50MP Portrait Lens (Mars Orange, 256 GB)"
48,"₹39,999","Google Pixel 7a (Coral, 128 GB)"
49,"₹39,999","Google Pixel 7a (Snow, 128 GB)"
50,"₹33,999","Honor 90 5G (Midnight Black, 512 GB)"
51,"₹36,999","vivo V29 5G (Black, 256 GB)"
52,"₹36,999","vivo V29 5G (Blue, 256 GB)"
53,"₹36,999","vivo V29 5G (Red, 256 GB)"
54,"₹33,999","Honor 90 5G (Emerald Green, 512 GB)"
55,"₹35,499","SAMSUNG Galaxy A54 5G (Awesome Violet, 128 GB)"
56,"₹30,999","Honor 90 5G (Diamond Silver, 256 GB)"
57,"₹37,499","SAMSUNG Galaxy A54 5G (Awesome Graphite, 256 GB)"
58,"₹35,999","realme GT 2 Pro (Steel Black, 256 GB)"
59,"₹39,999","SAMSUNG Galaxy S21 FE 5G (Lavender, 128 GB)"
60,"₹36,999","APPLE iPhone 11 (White, 64 GB)"
61,"₹37,499","SAMSUNG Galaxy A54 5G (Awesome Violet, 256 GB)"
62,"₹36,440","OnePlus Nord 3 5G (Tempest Gray, 256 GB)"
63,"₹36,945","OnePlus Nord 3 5G (Misty Green, 256 GB)"
64,"₹35,999","Honor 90 5G (Midnight Black, 256 GB)"
65,"₹35,499","SAMSUNG Galaxy A54 5G (Awesome Graphite, 128 GB)"
66,"₹38,999","realme GT Neo 3 (Sprint White, 256 GB)"
67,"₹37,499","SAMSUNG Galaxy A54 5G (Awesome Lime, 256 GB)"
68,"₹27,099","OnePlus 10R (Forest Green, 128 GB)"
69,"₹38,999","realme GT Neo 3 (Nitro Blue, 256 GB)"
70,"₹45,799","IQOO 9T 5G (ALPHA, 128 GB)"
71,"₹38,999","APPLE iPhone 11 (White, 128 GB)"
